date,symbol,type,amnt,price,current_balance 
1525147200000,AMBBTC,none,0.0,7.713e-05,1.0 
1525147200000,AIONBTC,none,0.0,0.0003907,1.0 
1525147200000,AEBTC,none,0.0,0.0004801,1.0 
1525147200000,ADXBTC,none,0.0,0.00011077,1.0 
1525149000000,AMBBTC,none,0.0,7.743e-05,1.0 
1525149000000,AIONBTC,none,0.0,0.000394,1.0 
1525149000000,AEBTC,none,0.0,0.0004847,1.0 
1525149000000,ADXBTC,none,0.0,0.00011133,1.0 
1525150800000,AMBBTC,none,0.0,7.75e-05,1.0 
1525150800000,AIONBTC,none,0.0,0.0003943,1.0 
1525150800000,AEBTC,none,0.0,0.0004784,1.0 
1525150800000,ADXBTC,none,0.0,0.00011055,1.0 
1525152600000,AMBBTC,none,0.0,7.751e-05,1.0 
1525152600000,AIONBTC,none,0.0,0.0003921,1.0 
1525152600000,AEBTC,none,0.0,0.0004814,1.0 
1525152600000,ADXBTC,none,0.0,0.00011052,1.0 
1525154400000,AMBBTC,none,0.0,7.707e-05,1.0 
1525154400000,AIONBTC,none,0.0,0.0003946,1.0 
1525154400000,AEBTC,none,0.0,0.0004855,1.0 
1525154400000,ADXBTC,none,0.0,0.00011079,1.0 
1525156200000,AMBBTC,none,0.0,7.706e-05,1.0 
1525156200000,AIONBTC,none,0.0,0.0003965,1.0 
1525156200000,AEBTC,none,0.0,0.0004917,1.0 
1525156200000,ADXBTC,none,0.0,0.00011115,1.0 
1525158000000,AMBBTC,none,0.0,7.776e-05,1.0 
1525158000000,AIONBTC,none,0.0,0.0003991,1.0 
1525158000000,AEBTC,none,0.0,0.0004937,1.0 
1525158000000,ADXBTC,none,0.0,0.00011159,1.0 
1525159800000,AMBBTC,none,0.0,7.824e-05,1.0 
1525159800000,AIONBTC,none,0.0,0.0003939,1.0 
1525159800000,AEBTC,none,0.0,0.0004957,1.0 
1525159800000,ADXBTC,none,0.0,0.00011319,1.0 
1525161600000,AMBBTC,none,0.0,7.741e-05,1.0 
1525161600000,AIONBTC,none,0.0,0.0003968,1.0 
1525161600000,AEBTC,none,0.0,0.0005014,1.0 
1525161600000,ADXBTC,none,0.0,0.00011262,1.0 
1525163400000,AMBBTC,none,0.0,7.798e-05,1.0 
1525163400000,AIONBTC,none,0.0,0.0003978,1.0 
1525163400000,AEBTC,none,0.0,0.0005101,1.0 
1525163400000,ADXBTC,none,0.0,0.00011299,1.0 
1525165200000,AMBBTC,none,0.0,7.825e-05,1.0 
1525165200000,AIONBTC,none,0.0,0.0003965,1.0 
1525165200000,AEBTC,none,0.0,0.0004984,1.0 
1525165200000,ADXBTC,none,0.0,0.000115,1.0 
1525167000000,AMBBTC,none,0.0,7.822e-05,1.0 
1525167000000,AIONBTC,none,0.0,0.0003938,1.0 
1525167000000,AEBTC,none,0.0,0.0004988,1.0 
1525167000000,ADXBTC,none,0.0,0.000115,1.0 
1525168800000,AMBBTC,none,0.0,7.866e-05,1.0 
1525168800000,AIONBTC,none,0.0,0.000398,1.0 
1525168800000,AEBTC,none,0.0,0.0004978,1.0 
1525168800000,ADXBTC,none,0.0,0.0001145,1.0 
1525170600000,AMBBTC,none,0.0,7.93e-05,1.0 
1525170600000,AIONBTC,none,0.0,0.0003977,1.0 
1525170600000,AEBTC,none,0.0,0.0004946,1.0 
1525170600000,ADXBTC,none,0.0,0.00011471,1.0 
1525172400000,AMBBTC,none,0.0,7.931e-05,1.0 
1525172400000,AIONBTC,none,0.0,0.000398,1.0 
1525172400000,AEBTC,none,0.0,0.0005054,1.0 
1525172400000,ADXBTC,none,0.0,0.00011453,1.0 
1525174200000,AMBBTC,none,0.0,7.917e-05,1.0 
1525174200000,AIONBTC,none,0.0,0.0003955,1.0 
1525174200000,AEBTC,none,0.0,0.0004983,1.0 
1525174200000,ADXBTC,none,0.0,0.00011418,1.0 
1525176000000,AMBBTC,none,0.0,7.808e-05,1.0 
1525176000000,AIONBTC,none,0.0,0.0003913,1.0 
1525176000000,AEBTC,none,0.0,0.0004871,1.0 
1525176000000,ADXBTC,none,0.0,0.00011398,1.0 
1525177800000,AMBBTC,none,0.0,7.966e-05,1.0 
1525177800000,AIONBTC,none,0.0,0.0003894,1.0 
1525177800000,AEBTC,none,0.0,0.000485,1.0 
1525177800000,ADXBTC,none,0.0,0.00011319,1.0 
1525179600000,AMBBTC,none,0.0,7.789e-05,1.0 
1525179600000,AIONBTC,none,0.0,0.0003905,1.0 
1525179600000,AEBTC,none,0.0,0.000488,1.0 
1525179600000,ADXBTC,none,0.0,0.00011197,1.0 
1525181400000,AMBBTC,none,0.0,7.772e-05,1.0 
1525181400000,AIONBTC,none,0.0,0.0003915,1.0 
1525181400000,AEBTC,none,0.0,0.0004915,1.0 
1525181400000,ADXBTC,none,0.0,0.00011222,1.0 
1525183200000,AMBBTC,none,0.0,7.822e-05,1.0 
1525183200000,AIONBTC,none,0.0,0.0003963,1.0 
