,close,high,low,open,startTime,time,volume
0,327.4,327.4,316.8,323.8,2020-04-09T12:00:00+00:00,1586433600000.0,0.0
1,328.5,330.4,324.8,327.4,2020-04-09T13:00:00+00:00,1586437200000.0,0.0
2,324.8,328.6,324.8,328.5,2020-04-09T14:00:00+00:00,1586440800000.0,0.0
3,324.8,325.5,324.6,324.8,2020-04-09T15:00:00+00:00,1586444400000.0,0.0
4,324.3,324.8,322.7,324.8,2020-04-09T16:00:00+00:00,1586448000000.0,0.0
5,324.8,324.8,324.3,324.3,2020-04-09T17:00:00+00:00,1586451600000.0,0.0
6,321.6,324.8,320.4,324.8,2020-04-09T18:00:00+00:00,1586455200000.0,0.0
7,321.7,324.8,320.4,321.6,2020-04-09T19:00:00+00:00,1586458800000.0,0.0
8,324.8,324.8,319.8,321.7,2020-04-09T20:00:00+00:00,1586462400000.0,0.0
9,324.8,324.8,321.7,324.8,2020-04-09T21:00:00+00:00,1586466000000.0,0.0
10,324.8,324.8,324.8,324.8,2020-04-09T22:00:00+00:00,1586469600000.0,0.0
11,323.6,324.8,323.6,324.8,2020-04-09T23:00:00+00:00,1586473200000.0,0.0
12,322.3,324.1,319.5,323.7,2020-04-10T00:00:00+00:00,1586476800000.0,0.0
13,315.1,322.3,315.0,322.3,2020-04-10T01:00:00+00:00,1586480400000.0,96.78496
14,305.6,315.1,305.6,315.1,2020-04-10T02:00:00+00:00,1586484000000.0,99.32
15,292.3,305.6,290.5,305.6,2020-04-10T03:00:00+00:00,1586487600000.0,0.0
16,293.8,297.1,275.5,292.3,2020-04-10T04:00:00+00:00,1586491200000.0,429.645
17,276.0,293.1,274.8,293.1,2020-04-10T05:00:00+00:00,1586494800000.0,0.0
18,274.7,276.2,274.3,276.0,2020-04-10T06:00:00+00:00,1586498400000.0,0.0
19,268.6,274.7,263.2,274.7,2020-04-10T07:00:00+00:00,1586502000000.0,0.0
20,252.0,270.3,252.0,268.6,2020-04-10T08:00:00+00:00,1586505600000.0,49.9968
21,258.2,268.8,252.0,252.0,2020-04-10T09:00:00+00:00,1586509200000.0,0.0
22,260.6,261.9,254.4,258.2,2020-04-10T10:00:00+00:00,1586512800000.0,0.0
23,247.3,260.6,247.3,260.6,2020-04-10T11:00:00+00:00,1586516400000.0,0.0
24,252.0,252.0,246.7,247.3,2020-04-10T12:00:00+00:00,1586520000000.0,0.0
25,252.0,252.0,242.4,252.0,2020-04-10T13:00:00+00:00,1586523600000.0,0.0
26,249.8,252.0,246.2,252.0,2020-04-10T14:00:00+00:00,1586527200000.0,0.0
27,232.2,251.9,231.7,249.8,2020-04-10T15:00:00+00:00,1586530800000.0,1718.4466
28,248.9,248.9,228.9,232.1,2020-04-10T16:00:00+00:00,1586534400000.0,0.0
29,253.8,257.4,247.8,248.9,2020-04-10T17:00:00+00:00,1586538000000.0,0.0
30,261.3,264.5,239.7,253.8,2020-04-10T18:00:00+00:00,1586541600000.0,900.988
31,253.0,262.9,249.3,261.3,2020-04-10T19:00:00+00:00,1586545200000.0,321.726
32,255.5,256.7,252.4,253.0,2020-04-10T20:00:00+00:00,1586548800000.0,0.0
33,258.2,261.2,254.7,255.5,2020-04-10T21:00:00+00:00,1586552400000.0,0.0
34,256.9,262.7,251.9,258.2,2020-04-10T22:00:00+00:00,1586556000000.0,0.0
35,254.8,259.2,252.7,256.9,2020-04-10T23:00:00+00:00,1586559600000.0,0.0
36,259.5,260.0,251.7,254.8,2020-04-11T00:00:00+00:00,1586563200000.0,76.3347
37,258.9,260.3,255.3,259.7,2020-04-11T01:00:00+00:00,1586566800000.0,0.0
38,261.0,264.6,255.3,258.9,2020-04-11T02:00:00+00:00,1586570400000.0,0.0
39,261.4,262.6,257.3,261.0,2020-04-11T03:00:00+00:00,1586574000000.0,0.0
40,266.7,273.9,258.9,261.4,2020-04-11T04:00:00+00:00,1586577600000.0,0.0
41,269.0,269.8,265.7,266.7,2020-04-11T05:00:00+00:00,1586581200000.0,0.0
42,267.9,269.9,266.6,269.0,2020-04-11T06:00:00+00:00,1586584800000.0,0.0
43,262.1,268.1,260.6,267.9,2020-04-11T07:00:00+00:00,1586588400000.0,0.0
44,263.3,264.4,261.4,262.1,2020-04-11T08:00:00+00:00,1586592000000.0,710.1658
45,259.9,263.3,257.5,263.3,2020-04-11T09:00:00+00:00,1586595600000.0,0.0
46,256.3,261.7,256.3,259.9,2020-04-11T10:00:00+00:00,1586599200000.0,0.0
47,262.9,263.0,256.2,256.3,2020-04-11T11:00:00+00:00,1586602800000.0,0.0
48,261.0,263.3,258.0,262.9,2020-04-11T12:00:00+00:00,1586606400000.0,0.0
49,259.0,261.8,258.2,261.0,2020-04-11T13:00:00+00:00,1586610000000.0,0.0
50,252.3,259.0,251.7,259.0,2020-04-11T14:00:00+00:00,1586613600000.0,476.102
51,254.6,255.8,252.3,252.3,2020-04-11T15:00:00+00:00,1586617200000.0,0.0
52,248.7,258.7,248.5,254.6,2020-04-11T16:00:00+00:00,1586620800000.0,363.3304
53,261.2,262.0,246.9,248.7,2020-04-11T17:00:00+00:00,1586624400000.0,3205.3593
54,268.7,272.7,253.2,261.4,2020-04-11T18:00:00+00:00,1586628000000.0,1754.5114
55,267.3,268.9,266.5,268.7,2020-04-11T19:00:00+00:00,1586631600000.0,0.0
56,263.9,267.3,262.2,267.3,2020-04-11T20:00:00+00:00,1586635200000.0,813.4688
57,270.1,270.1,262.2,263.9,2020-04-11T21:00:00+00:00,1586638800000.0,0.0
58,268.3,273.7,268.3,270.1,2020-04-11T22:00:00+00:00,1586642400000.0,9.8244
59,268.5,268.7,262.4,268.3,2020-04-11T23:00:00+00:00,1586646000000.0,291.17
60,268.0,272.0,266.2,268.5,2020-04-12T00:00:00+00:00,1586649600000.0,0.0
61,270.5,276.5,260.6,268.0,2020-04-12T01:00:00+00:00,1586653200000.0,134.0197
62,262.1,270.8,260.1,270.5,2020-04-12T02:00:00+00:00,1586656800000.0,363.677
63,262.1,264.2,262.1,262.1,2020-04-12T03:00:00+00:00,1586660400000.0,0.0
64,262.1,262.1,259.6,262.1,2020-04-12T04:00:00+00:00,1586664000000.0,0.0
65,270.3,271.0,259.1,262.1,2020-04-12T05:00:00+00:00,1586667600000.0,9.36
66,266.6,271.0,263.8,270.3,2020-04-12T06:00:00+00:00,1586671200000.0,0.0
67,267.8,269.1,265.0,266.6,2020-04-12T07:00:00+00:00,1586674800000.0,0.0
68,274.9,274.9,265.8,267.8,2020-04-12T08:00:00+00:00,1586678400000.0,0.0
69,276.3,278.6,272.8,274.9,2020-04-12T09:00:00+00:00,1586682000000.0,278.1
70,270.4,276.4,270.0,276.3,2020-04-12T10:00:00+00:00,1586685600000.0,0.0
71,278.2,280.7,268.3,270.4,2020-04-12T11:00:00+00:00,1586689200000.0,291.2
72,280.0,283.0,278.2,278.2,2020-04-12T12:00:00+00:00,1586692800000.0,0.0
73,282.8,282.8,280.0,280.0,2020-04-12T13:00:00+00:00,1586696400000.0,0.0
74,288.8,293.1,281.2,282.8,2020-04-12T14:00:00+00:00,1586700000000.0,35.7438
75,291.9,292.7,282.5,288.8,2020-04-12T15:00:00+00:00,1586703600000.0,35.9724
76,307.2,310.3,291.9,291.9,2020-04-12T16:00:00+00:00,1586707200000.0,2969.0262
77,304.7,308.4,299.2,307.2,2020-04-12T17:00:00+00:00,1586710800000.0,0.0
78,298.6,304.7,296.0,304.7,2020-04-12T18:00:00+00:00,1586714400000.0,0.0
79,295.5,301.0,295.5,298.6,2020-04-12T19:00:00+00:00,1586718000000.0,379.3875
80,295.4,298.0,295.0,295.5,2020-04-12T20:00:00+00:00,1586721600000.0,0.0
81,298.1,298.1,294.8,295.4,2020-04-12T21:00:00+00:00,1586725200000.0,0.0
82,292.2,298.7,287.4,298.1,2020-04-12T22:00:00+00:00,1586728800000.0,0.0
83,277.0,295.5,276.6,292.2,2020-04-12T23:00:00+00:00,1586732400000.0,182.9584
84,267.0,277.2,263.2,277.0,2020-04-13T00:00:00+00:00,1586736000000.0,49.929
85,263.7,268.5,261.6,267.0,2020-04-13T01:00:00+00:00,1586739600000.0,0.0
86,268.5,271.5,250.8,263.7,2020-04-13T02:00:00+00:00,1586743200000.0,2706.2933
87,265.5,268.5,265.2,268.5,2020-04-13T03:00:00+00:00,1586746800000.0,0.0
88,269.4,272.1,255.9,265.5,2020-04-13T04:00:00+00:00,1586750400000.0,2703.9186
89,268.6,272.0,266.9,269.4,2020-04-13T05:00:00+00:00,1586754000000.0,0.0
90,272.0,272.0,266.7,268.6,2020-04-13T06:00:00+00:00,1586757600000.0,0.0
91,263.8,272.0,262.3,272.0,2020-04-13T07:00:00+00:00,1586761200000.0,0.0
92,262.1,265.6,258.3,263.8,2020-04-13T08:00:00+00:00,1586764800000.0,0.0
93,260.5,262.4,257.5,262.1,2020-04-13T09:00:00+00:00,1586768400000.0,0.0
94,271.1,271.2,260.5,260.5,2020-04-13T10:00:00+00:00,1586772000000.0,0.0
95,275.3,277.4,264.8,271.1,2020-04-13T11:00:00+00:00,1586775600000.0,2076.3098
96,273.6,278.7,260.0,275.3,2020-04-13T12:00:00+00:00,1586779200000.0,2423.5731
97,262.1,273.9,261.2,273.6,2020-04-13T13:00:00+00:00,1586782800000.0,9.6912
98,262.7,274.1,259.7,262.1,2020-04-13T14:00:00+00:00,1586786400000.0,0.0
99,265.2,269.4,256.0,262.7,2020-04-13T15:00:00+00:00,1586790000000.0,873.5184
100,254.6,272.4,254.6,265.2,2020-04-13T16:00:00+00:00,1586793600000.0,1091.1481
101,254.6,258.3,254.6,254.6,2020-04-13T17:00:00+00:00,1586797200000.0,0.0
102,254.6,256.7,254.6,254.6,2020-04-13T18:00:00+00:00,1586800800000.0,0.0
103,256.0,258.3,254.6,254.6,2020-04-13T19:00:00+00:00,1586804400000.0,0.0
104,259.9,260.8,256.0,256.0,2020-04-13T20:00:00+00:00,1586808000000.0,0.0
105,262.2,266.2,258.6,259.9,2020-04-13T21:00:00+00:00,1586811600000.0,0.0
106,267.7,268.5,261.3,262.2,2020-04-13T22:00:00+00:00,1586815200000.0,0.0
107,274.4,278.1,262.6,267.7,2020-04-13T23:00:00+00:00,1586818800000.0,0.0
108,274.6,276.5,272.3,274.4,2020-04-14T00:00:00+00:00,1586822400000.0,340.648
109,279.8,279.9,269.9,274.6,2020-04-14T01:00:00+00:00,1586826000000.0,0.0
110,278.9,282.0,276.5,279.8,2020-04-14T02:00:00+00:00,1586829600000.0,0.0
111,291.0,292.0,274.2,278.9,2020-04-14T03:00:00+00:00,1586833200000.0,2256.3917
112,291.0,293.4,287.0,291.0,2020-04-14T04:00:00+00:00,1586836800000.0,1378.8665
113,291.0,295.3,283.6,291.0,2020-04-14T05:00:00+00:00,1586840400000.0,1463.7544
114,288.3,292.8,283.3,291.0,2020-04-14T06:00:00+00:00,1586844000000.0,283.29
115,285.7,293.0,285.0,288.3,2020-04-14T07:00:00+00:00,1586847600000.0,414.072
116,271.4,285.7,269.1,285.7,2020-04-14T08:00:00+00:00,1586851200000.0,2477.7739
117,277.9,278.5,271.4,271.4,2020-04-14T09:00:00+00:00,1586854800000.0,0.0
118,274.9,278.7,274.9,275.4,2020-04-14T10:00:00+00:00,1586858400000.0,102.86
119,276.0,277.0,273.4,274.9,2020-04-14T11:00:00+00:00,1586862000000.0,0.0
120,277.0,278.0,273.2,276.0,2020-04-14T12:00:00+00:00,1586865600000.0,0.0
121,286.9,287.2,277.0,277.0,2020-04-14T13:00:00+00:00,1586869200000.0,235.282
122,284.5,289.9,279.2,286.9,2020-04-14T14:00:00+00:00,1586872800000.0,0.0
123,286.3,292.0,281.4,284.5,2020-04-14T15:00:00+00:00,1586876400000.0,0.0
124,289.9,291.3,283.3,286.3,2020-04-14T16:00:00+00:00,1586880000000.0,394.264
125,289.0,290.6,287.1,289.9,2020-04-14T17:00:00+00:00,1586883600000.0,0.0
126,288.5,289.9,285.4,289.0,2020-04-14T18:00:00+00:00,1586887200000.0,0.0
127,287.3,289.9,283.5,288.5,2020-04-14T19:00:00+00:00,1586890800000.0,0.0
128,280.9,289.9,280.4,287.3,2020-04-14T20:00:00+00:00,1586894400000.0,0.0
129,277.3,281.4,277.1,280.9,2020-04-14T21:00:00+00:00,1586898000000.0,0.0
130,281.1,286.0,277.1,277.3,2020-04-14T22:00:00+00:00,1586901600000.0,0.0
131,278.9,282.9,277.1,281.1,2020-04-14T23:00:00+00:00,1586905200000.0,0.0
