time,open,high,low,close,vwap,vol
1561377600,0.9950,1.0010,0.9950,1.0001,0.9989,214928.03300111,286
1561392000,1.0001,1.0001,0.9951,0.9955,0.9989,700319.86027239,828
1561406400,0.9951,0.9969,0.9950,0.9964,0.9959,228337.98012650,211
1561420800,0.9969,0.9999,0.9967,0.9976,0.9987,99944.78104531,330
1561435200,0.9976,0.9987,0.9958,0.9967,0.9969,352069.54328218,297
1561449600,0.9967,0.9973,0.9941,0.9958,0.9960,296697.01276306,400
1561464000,0.9958,0.9984,0.9921,0.9965,0.9965,484808.24443326,822
1561478400,0.9965,0.9981,0.9925,0.9958,0.9962,417611.13155371,515
1561492800,0.9962,0.9995,0.9946,0.9950,0.9966,537140.13329374,653
1561507200,0.9950,0.9993,0.9946,0.9973,0.9962,596393.74543051,989
1561521600,0.9973,0.9999,0.9920,0.9946,0.9950,1110705.53339877,1142
1561536000,0.9946,0.9995,0.9920,0.9953,0.9949,1159249.93702171,1393
1561550400,0.9953,0.9990,0.9939,0.9961,0.9970,877280.37539430,1051
1561564800,0.9961,0.9974,0.9920,0.9925,0.9931,1510327.87674604,1560
1561579200,0.9923,0.9960,0.9900,0.9900,0.9918,2126716.52061721,1236
1561593600,0.9900,0.9940,0.9898,0.9900,0.9903,863834.64118850,1171
1561608000,0.9900,0.9970,0.9850,0.9906,0.9923,1081502.67183456,2117
1561622400,0.9906,0.9999,0.9825,0.9891,0.9884,1366806.69811526,2561
1561636800,0.9890,0.9966,0.9818,0.9853,0.9886,1745008.72457786,2503
1561651200,0.9853,0.9895,0.9730,0.9832,0.9831,873072.90739712,1724
1561665600,0.9832,0.9950,0.9777,0.9852,0.9849,742482.14483840,1715
1561680000,0.9853,0.9865,0.9751,0.9772,0.9793,812045.61029128,741
1561694400,0.9757,0.9915,0.9755,0.9872,0.9821,1007630.01035130,983
1561708800,0.9872,0.9990,0.9844,0.9896,0.9913,474643.72374073,1357
1561723200,0.9905,0.9930,0.9849,0.9911,0.9899,211182.69377494,883
1561737600,0.9939,0.9998,0.9913,0.9972,0.9970,352706.32847560,369
1561752000,0.9960,0.9998,0.9937,0.9960,0.9958,233090.21754477,693
1561766400,0.9959,0.9959,0.9880,0.9897,0.9926,796983.84383245,1610
1561780800,0.9897,0.9956,0.9875,0.9956,0.9918,265854.53654651,1174
1561795200,0.9951,0.9953,0.9754,0.9931,0.9891,1119495.27653076,852
1561809600,0.9931,0.9978,0.9918,0.9942,0.9945,231341.12682474,753
1561824000,0.9947,0.9970,0.9934,0.9956,0.9944,201618.38164940,700
1561838400,0.9955,0.9994,0.9934,0.9967,0.9970,362239.61317497,778
1561852800,0.9970,0.9993,0.9955,0.9980,0.9978,143825.94141508,507
1561867200,0.9980,0.9997,0.9934,0.9977,0.9986,385071.80322690,713
1561881600,0.9977,0.9977,0.9885,0.9916,0.9917,250241.17814392,500
1561896000,0.9916,0.9917,0.9862,0.9905,0.9883,348677.55597775,548
